frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
191,1,0.33897,-0.52579,0.29665,-0.57803,0.0,-0.0048687,0.0107113
192,1,0.11309,-0.17586,0.07266,-0.2347,0.0,-0.0049652,0.0106186
193,1,-0.11309,0.17586,-0.15875,0.1219,0.0,-0.005122,0.0110238
194,1,-0.33897,0.52579,-0.38459,0.47614,0.0,-0.004974,0.0109349
195,1,-0.564,0.87042,-0.50258,0.73735,0.0,-0.002296,0.0078704
196,1,-0.7876,1.20625,-0.72057,1.07668,0.0,-0.0048113,0.0104814
197,1,-1.00922,1.52991,-0.94225,1.39913,0.0,-0.0049831,0.0100176
198,0,-1.22828,1.83811,-1.16342,1.70225,0.0,-0.0050452,0.0094678
199,0,-1.44425,2.12776,-1.38558,1.99034,0.0,-0.0051333,0.0090457
200,0,-1.65656,2.39592,-1.59463,2.25856,0.0,-0.0048416,0.0084309
201,0,-1.86469,2.63988,-1.80177,2.50383,0.0,-0.004879,0.0077726
202,0,-2.06811,2.85719,-2.00527,2.71646,0.0,-0.0049058,0.0068337
203,0,-2.2663,3.04564,-2.20402,2.90248,0.0,-0.0048774,0.0060603
204,0,-2.45878,3.20334,-2.39906,3.06075,0.0,-0.004883,0.0052594
205,1,-2.64503,3.3287,-2.5841,3.1823,0.0,-0.0047461,0.0041793
206,1,-2.82461,3.42044,-2.76497,3.26738,0.0,-0.0048399,0.0030982
207,1,-2.99705,3.47764,-2.93698,3.32384,0.0,-0.0046434,0.0022813
208,1,-3.16193,3.49972,-3.10134,3.35151,0.0,-0.0045421,0.001435
209,1,-3.31881,3.48647,-3.26041,3.3351,0.0,-0.0045681,0.0001653
210,1,-3.46731,3.438,-3.40203,3.28657,0.0,-0.0042026,-0.0008141
211,1,-3.60705,3.35483,-3.53556,3.20419,0.0,-0.0041086,-0.0018056
212,1,-3.73768,3.23777,-3.65562,3.092,0.0,-0.0038465,-0.0027033
213,1,-3.85887,3.08802,-3.77759,2.94071,0.0,-0.0040566,-0.0038039
214,1,-3.97031,2.90709,-3.88792,2.76038,0.0,-0.0038432,-0.0046729
215,1,-4.07172,2.6968,-3.99636,2.55161,0.0,-0.0039033,-0.005486
216,1,-4.16285,2.45927,-4.08773,2.31488,0.0,-0.0035315,-0.006346
217,0,-4.24346,2.19692,-4.17274,2.0509,0.0,-0.0034607,-0.0071433
218,0,-4.31335,1.91238,-4.24093,1.76352,0.0,-0.0030779,-0.0078732
219,1,-4.37234,1.60853,-4.30538,1.45245,0.0,-0.0030666,-0.0085592
220,1,-4.42029,1.28844,-4.35352,1.13288,0.0,-0.0026388,-0.0088646
221,1,-4.45708,0.95533,-4.39361,0.79574,0.0,-0.0024811,-0.0093943
222,1,-4.4826,0.61258,-4.41482,0.45234,0.0,-0.0019716,-0.0096467
223,1,-4.4968,0.26364,-4.43156,0.10162,0.0,-0.0018744,-0.0098717
224,1,-4.49965,-0.08796,-4.43594,-0.2461,0.0,-0.0015127,-0.0098355
225,0,-4.49112,-0.43867,-4.42481,-0.60133,0.0,-0.0011037,-0.0101098
226,0,-4.47125,-0.78495,-4.40625,-0.94135,0.0,-0.0008323,-0.0097084
227,0,-4.44009,-1.1233,-4.37509,-1.28389,0.0,-0.0004859,-0.0098297
228,0,-4.39771,-1.45032,-4.33529,-1.6095,0.0,-0.0001739,-0.0093839
229,0,-4.34422,-1.76268,-4.27863,-1.91681,0.0,0.0003766,-0.0089324
230,0,-4.27975,-2.05725,-4.20847,-2.21695,0.0,0.0007875,-0.0087827
231,0,-4.20448,-2.33104,-4.13249,-2.49199,0.0,0.0010522,-0.0080944
232,0,-4.11859,-2.5813,-4.04736,-2.74055,0.0,0.0014171,-0.0073804
233,0,-4.02229,-2.80548,-3.95106,-2.9626,0.0,0.0018392,-0.0066735
234,0,-3.91583,-3.00134,-3.84397,-3.15606,0.0,0.0022589,-0.0059063
235,0,-3.79948,-3.16689,-3.72475,-3.31782,0.0,0.0027287,-0.0050559
236,0,-3.67353,-3.30047,-3.59762,-3.44692,0.0,0.0030828,-0.0041617
237,0,-3.5383,-3.40071,-3.45966,-3.55765,0.0,0.0034629,-0.0036841
238,0,-3.39413,-3.46662,-3.32161,-3.62299,0.0,0.0036468,-0.0023982
239,0,-3.24139,-3.49751,-3.17218,-3.64918,0.0,0.0041252,-0.0013339
240,0,-3.08046,-3.49309,-3.01126,-3.64339,0.0,0.0045782,-0.0004735
241,0,-2.91175,-3.4534,-2.84602,-3.60495,0.0,0.0048308,0.0004348
242,0,-2.73569,-3.37884,-2.67042,-3.53327,0.0,0.0052568,0.0013355
243,0,-2.55271,-3.27015,-2.48846,-3.42525,0.0,0.005582,0.0023398
