frame,x,y,z,dx,dy,dz
259,0.898695,1.369808,4.000000,0.898695,1.369808,0.000000
260,1.119104,1.686138,4.000000,1.119104,1.686138,0.000000
261,1.336687,1.985441,4.000000,1.336687,1.985441,0.000000
262,1.550893,2.264696,4.000000,1.550893,2.264696,0.000000
263,1.761182,2.521082,4.000000,1.761182,2.521082,0.000000
264,1.967021,2.752010,4.000000,1.967021,2.752010,0.000000
265,2.167892,2.955148,4.000000,2.167892,2.955148,0.000000
266,2.363286,3.128445,4.000000,2.363286,3.128445,0.000000
267,2.552710,3.270151,4.000000,2.552710,3.270151,0.000000
268,2.735686,3.378836,4.000000,2.735686,3.378836,0.000000
269,2.911752,3.453401,4.000000,2.911752,3.453401,0.000000
270,3.080462,3.493094,4.000000,3.080462,3.493094,0.000000
271,3.241391,3.497513,4.000000,3.241391,3.497513,0.000000
272,3.394131,3.466615,4.000000,3.394131,3.466615,0.000000
273,3.538298,3.400711,4.000000,3.538298,3.400711,0.000000
274,3.673527,3.300467,4.000000,3.673527,3.300467,0.000000
275,3.799476,3.166895,4.000000,3.799476,3.166895,0.000000
276,3.915827,3.001343,4.000000,3.915827,3.001343,0.000000
277,4.022286,2.805484,4.000000,4.022286,2.805484,0.000000
278,4.118585,2.581296,4.000000,4.118585,2.581296,0.000000
279,4.204480,2.331042,4.000000,4.204480,2.331042,0.000000
280,4.279754,2.057248,4.000000,4.279754,2.057248,0.000000
281,4.344217,1.762681,4.000000,4.344217,1.762681,0.000000
282,4.397707,1.450315,4.000000,4.397707,1.450315,0.000000
283,4.440087,1.123303,4.000000,4.440087,1.123303,0.000000
284,4.471251,0.784948,4.000000,4.471251,0.784948,0.000000
285,4.491120,0.438666,4.000000,4.491120,0.438666,0.000000
286,4.499645,0.087955,4.000000,4.499645,0.087955,0.000000
287,4.496803,-0.263644,4.000000,4.496803,-0.263644,0.000000
288,4.482601,-0.612581,4.000000,4.482601,-0.612581,0.000000
289,4.457076,-0.955332,4.000000,4.457076,-0.955332,0.000000
290,4.420293,-1.288436,4.000000,4.420293,-1.288436,0.000000
291,4.372343,-1.608530,4.000000,4.372343,-1.608530,0.000000
292,4.313348,-1.912380,4.000000,4.313348,-1.912380,0.000000
293,4.243457,-2.196920,4.000000,4.243457,-2.196920,0.000000
294,4.162847,-2.459275,4.000000,4.162847,-2.459275,0.000000
295,4.071722,-2.696796,4.000000,4.071722,-2.696796,0.000000
296,3.970311,-2.907086,4.000000,3.970311,-2.907086,0.000000
297,3.858870,-3.088019,4.000000,3.858870,-3.088019,0.000000
298,3.737682,-3.237770,4.000000,3.737682,-3.237770,0.000000
299,3.607051,-3.354826,4.000000,3.607051,-3.354826,0.000000
