frame,x,y
713,2.498693,-2.599020
714,2.499279,-2.598329
715,2.523837,-2.432539
716,2.524556,-2.434638
717,2.525115,-2.439065
718,2.525574,-2.441723
719,2.525873,-2.444955
720,2.526211,-2.448674
721,2.526530,-2.448274
722,2.560755,-2.581710
723,2.560897,-2.572838
724,2.561223,-2.565505
725,2.561397,-2.552916
726,2.561738,-2.542347
727,2.562211,-2.533986
728,2.562898,-2.533150
729,2.563611,-2.537766
730,2.566458,-1.899591
731,2.566971,-1.886083
732,2.567545,-1.877598
733,2.568373,-1.872427
734,2.569640,-1.880489
735,2.571073,-1.893145
736,2.575181,-1.840085
737,2.576596,-1.817222
738,2.577833,-1.797219
739,2.579017,-1.786002
740,2.580219,-1.790256
741,2.581642,-1.809367
742,2.590552,-1.549937
743,2.591605,-1.520266
744,2.592795,-1.498615
745,2.594035,-1.475071
746,2.595119,-1.459671
747,2.596501,-1.453257
748,2.597711,-1.446850
749,2.598585,-1.437743
750,2.594393,-0.911971
751,2.595586,-0.869232
752,2.597347,-0.840572
753,2.599366,-0.820265
754,2.601092,-0.810112
755,2.602400,-0.807542
756,2.603288,-0.808662
757,2.604034,-0.812195
758,2.584738,-0.773220
759,2.586402,-0.745219
760,2.588284,-0.722738
761,2.590596,-0.710400
762,2.592618,-0.702407
763,2.594213,-0.696381
764,2.595435,-0.691028
765,2.596818,-0.692971
766,2.585570,-0.327548
767,2.586651,-0.299734
768,2.587710,-0.269588
769,2.589116,-0.243016
770,2.590859,-0.219841
771,2.592712,-0.195236
772,2.594953,-0.176191
773,2.596791,-0.156519
774,2.577466,0.031592
775,2.579769,0.056390
776,2.581492,0.073708
777,2.582960,0.087227
778,2.584265,0.098211
779,2.585606,0.112558
780,2.587136,0.123243
781,2.572763,0.162106
782,2.574216,0.186694
783,2.575551,0.214916
784,2.576655,0.241192
785,2.577460,0.267215
786,2.578224,0.292652
787,2.579109,0.310966
788,2.580231,0.331216
789,2.563277,0.632625
790,2.563679,0.657910
791,2.564085,0.684362
792,2.564949,0.706667
793,2.566414,0.719342
794,2.568193,0.732404
795,2.569859,0.752354
796,2.571428,0.768659
797,2.547311,0.803708
798,2.548522,0.814468
799,2.550055,0.814818
800,2.551547,0.818315
801,2.552710,0.829849
802,2.553950,0.841842
803,2.555279,0.847222
804,2.525352,1.062985
805,2.526539,1.071985
806,2.527764,1.085686
807,2.529073,1.099842
808,2.530715,1.101933
809,2.532195,1.115073
810,2.533356,1.149636
811,2.508188,1.523784
812,2.509366,1.544944
813,2.510032,1.576060
814,2.510648,1.604592
815,2.511249,1.627646
816,2.511906,1.664035
817,2.473475,1.877535
818,2.474754,1.874232
819,2.476278,1.872339
820,2.477817,1.875430
821,2.479075,1.883238
822,2.480395,1.890667
823,2.481523,1.903933
824,2.448278,2.314051
825,2.449056,2.334602
826,2.449826,2.356414
827,2.450681,2.370051
828,2.451483,2.389539
829,2.452244,2.416366
830,2.453135,2.436938
831,2.453860,2.451903
832,2.418455,2.958358
833,2.419126,2.978223
834,2.419955,2.993952
835,2.420784,3.001551
836,2.421926,3.003690
837,2.423149,3.002601
838,2.424365,3.001222
839,2.425537,2.995069
840,2.394142,3.259662
841,2.395557,3.258914
842,2.396936,3.261351
843,2.398156,3.265255
844,2.399224,3.269064
845,2.400198,3.269803
846,2.401027,3.266867
847,2.401651,3.261088
848,2.372497,3.599142
849,2.373459,3.597595
850,2.374560,3.594129
851,2.359941,3.458536
852,2.359201,3.472013
853,2.358660,3.487206
854,2.358308,3.496609
855,2.327581,3.770900
856,2.327398,3.779298
857,2.327217,3.792091
858,2.326998,3.803356
859,2.326693,3.814480
860,2.326445,3.824550
861,2.326048,3.837168
862,2.293961,4.144848
863,2.293928,4.151204
864,2.293946,4.163345
865,2.294029,4.174742
866,2.294106,4.187601
867,2.294206,4.199202
868,2.270208,4.385996
869,2.270119,4.407648
870,2.270273,4.426694
871,2.270714,4.434603
872,2.271365,4.437141
873,2.271753,4.447759
874,2.246458,4.545647
875,2.246642,4.588388
876,2.246920,4.612409
877,2.247334,4.630260
878,2.247790,4.645200
879,2.248154,4.663588
880,2.248551,4.670244
881,2.248906,4.686363
882,2.226864,4.778158
883,2.227598,4.797365
884,2.228154,4.818025
885,2.228880,4.831383
886,2.229670,4.835102
887,2.230404,4.842266
888,2.231011,4.856523
889,2.231508,4.877168
890,2.207655,4.910152
891,2.208238,4.937067
892,2.208844,4.960503
893,2.209496,4.976439
894,2.210037,4.995428
895,2.210532,5.012393
896,2.211132,5.015094
897,2.211399,5.041547
898,2.184272,5.182723
899,2.184224,5.182483
