frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
294,0,3.514881,-3.414102,0.0,-4.496803,0.263644,0.0
295,0,3.514881,-3.414102,0.0,-4.499013,0.146565,0.0
296,0,3.514881,-3.414102,0.0,-4.499961,0.029321,0.0
297,0,3.514881,-3.414102,0.0,-4.499645,-0.087955,0.0
298,0,3.514881,-3.414102,0.0,-4.498066,-0.205133,0.0
299,0,3.514881,-3.414102,0.0,-4.495224,-0.322081,0.0
300,0,3.514881,-3.414102,0.0,-4.49112,-0.438666,0.0
301,0,3.514881,-3.414102,0.0,-4.485756,-0.55476,0.0
302,0,3.514881,-3.414102,0.0,-4.479132,-0.67023,0.0
303,0,3.514881,-3.414102,0.0,-4.471251,-0.784948,0.0
304,0,3.514881,-3.414102,0.0,-4.462115,-0.898784,0.0
305,0,3.514881,-3.414102,0.0,-4.451725,-1.011611,0.0
306,0,3.514881,-3.414102,0.0,-4.440087,-1.123303,0.0
307,0,3.514881,-3.414102,0.0,-4.427202,-1.233733,0.0
308,0,3.514881,-3.414102,0.0,-4.413073,-1.342777,0.0
309,0,3.514881,-3.414102,0.0,-4.397707,-1.450315,0.0
310,0,3.514881,-3.414102,0.0,-4.381105,-1.556223,0.0
311,0,3.514881,-3.414102,0.0,-4.363274,-1.660384,0.0
312,0,3.514881,-3.414102,0.0,-4.344217,-1.762681,0.0
313,0,3.514881,-3.414102,0.0,-4.323942,-1.862999,0.0
314,0,3.514881,-3.414102,0.0,-4.302452,-1.961225,0.0
315,0,3.514881,-3.414102,0.0,-4.279754,-2.057248,0.0
316,0,3.514881,-3.414102,0.0,-4.255855,-2.150962,0.0
317,0,3.514881,-3.414102,0.0,-4.230762,-2.242261,0.0
318,0,3.514881,-3.414102,0.0,-4.20448,-2.331042,0.0
319,0,3.514881,-3.414102,0.0,-4.177019,-2.417205,0.0
320,0,3.514881,-3.414102,0.0,-4.148384,-2.500654,0.0
321,0,3.514881,-3.414102,0.0,-4.118585,-2.581296,0.0
322,0,3.514881,-3.414102,0.0,-4.08763,-2.659039,0.0
323,0,3.514881,-3.414102,0.0,-4.055528,-2.733797,0.0
324,0,3.514881,-3.414102,0.0,-4.022286,-2.805484,0.0
325,0,3.514881,-3.414102,0.0,-3.987916,-2.874022,0.0
326,0,3.514881,-3.414102,0.0,-3.952426,-2.939333,0.0
327,0,3.514881,-3.414102,0.0,-3.915827,-3.001343,0.0
328,0,3.514881,-3.414102,0.0,-3.878128,-3.059984,0.0
329,0,3.514881,-3.414102,0.0,-3.839341,-3.115188,0.0
330,0,3.514881,-3.414102,0.0,-3.799476,-3.166895,0.0
331,0,3.514881,-3.414102,0.0,-3.758544,-3.215045,0.0
332,0,3.514881,-3.414102,0.0,-3.716557,-3.259586,0.0
333,0,3.514881,-3.414102,0.0,-3.673527,-3.300467,0.0
334,0,3.514881,-3.414102,0.0,-3.629465,-3.337642,0.0
335,0,3.514881,-3.414102,0.0,-3.584385,-3.371069,0.0
336,0,3.514881,-3.414102,0.0,-3.538298,-3.400711,0.0
337,0,3.514881,-3.414102,0.0,-3.491218,-3.426535,0.0
338,0,3.514881,-3.414102,0.0,-3.443158,-3.448511,0.0
339,0,3.514881,-3.414102,0.0,-3.394131,-3.466615,0.0
340,0,3.514881,-3.414102,0.0,-3.344152,-3.480827,0.0
341,0,3.514881,-3.414102,0.0,-3.293233,-3.49113,0.0
342,0,3.514881,-3.414102,0.0,-3.241391,-3.497513,0.0
343,0,3.514881,-3.414102,0.0,-3.188638,-3.499969,0.0
344,0,3.514881,-3.414102,0.0,-3.13499,-3.498496,0.0
345,0,3.514881,-3.414102,0.0,-3.080462,-3.493094,0.0
346,0,3.514881,-3.414102,0.0,-3.025069,-3.483769,0.0
347,0,3.514881,-3.414102,0.0,-2.968827,-3.470534,0.0
348,0,3.514881,-3.414102,0.0,-2.911752,-3.453401,0.0
349,0,3.514881,-3.414102,0.0,-2.853859,-3.43239,0.0
350,0,3.514881,-3.414102,0.0,-2.795165,-3.407526,0.0
351,0,3.514881,-3.414102,0.0,-2.735686,-3.378836,0.0
352,0,3.514881,-3.414102,0.0,-2.67544,-3.346351,0.0
353,0,3.514881,-3.414102,0.0,-2.614442,-3.31011,0.0
354,0,3.514881,-3.414102,0.0,-2.55271,-3.270151,0.0
355,0,3.514881,-3.414102,0.0,-2.490262,-3.226521,0.0
356,0,3.514881,-3.414102,0.0,-2.427115,-3.179268,0.0
357,0,3.514881,-3.414102,0.0,-2.363286,-3.128445,0.0
358,0,3.514881,-3.414102,0.0,-2.298794,-3.074109,0.0
359,0,3.514881,-3.414102,0.0,-2.233656,-3.016322,0.0
360,0,3.514881,-3.414102,0.0,-2.167892,-2.955148,0.0
361,0,3.514881,-3.414102,0.0,-2.101518,-2.890655,0.0
362,0,3.514881,-3.414102,0.0,-2.034555,-2.822917,0.0
363,0,3.514881,-3.414102,0.0,-1.967021,-2.75201,0.0
364,0,3.514881,-3.414102,0.0,-1.898934,-2.678012,0.0
365,0,3.514881,-3.414102,0.0,-1.830315,-2.601007,0.0
366,0,3.514881,-3.414102,0.0,-1.761182,-2.521082,0.0
367,0,3.514881,-3.414102,0.0,-1.691554,-2.438326,0.0
368,0,3.514881,-3.414102,0.0,-1.621451,-2.352832,0.0
369,0,3.514881,-3.414102,0.0,-1.550893,-2.264696,0.0
370,0,3.514881,-3.414102,0.0,-1.4799,-2.174017,0.0
371,0,3.514881,-3.414102,0.0,-1.408491,-2.080898,0.0
